Site,Species ,Sex,Crab Wet Mass (g),Carapace Width (mm),Claw Length (mm),Claw Height (mm) ,Claw Width (mm),Claw Wet Mass (g),Notes 
Belinda Point,Rom.,M,244.38,98.66,49.47,34.81,21.6,15.99,
Belinda Point,Rom.,F,156.52,90.73,36.78,25.13,14.99,9.8,
Belinda Point,Rom.,F,109.15,82.68,30.38,19.94,11.85,4.03,
Belinda Point,Rom.,M,154.22,86.68,40.63,28.52,16.13,13.77,
Belinda Point,Rom.,F,92.83,80.26,31.47,20.63,12.34,4.71,
Belinda Point,Rom.,F,102.6,75.95,30.88,20.16,12.43,5.53,
Belinda Point,Rom.,F,88.18,74.09,28.37,19.38,11.6,4.66,Bottom and Chela broke
Belinda Point,Rom.,F,98.98,79.76,30.54,20.47,12.25,5.01,
Devil's Gate,Cancer,M,290,127,52,33,18,22,
Devil's Gate,Cancer,M,352,133,56,34,19,27,
Devil's Gate,Rom.,M,290,107,52,36,22,31,
Devil's Gate,Rom.,M,27,49,,,,1,Claw lost
Devil's Gate,Rom.,M,103,72,36,25,15,10,
Devil's Gate,Rom.,M,150,87,41,28,18,16,
Devil's Gate,Rom.,M,96,71,34,23,14,8,
Devil's Gate,Rom.,F,89,78,31,21,12,5,
Point St. George,Rom.,M,99.15,80.92,35.16,26.61,14.55,6.88,
Point St. George,Rom.,M,241.72,103.15,43.59,33.68,23.29,N/A,
Point St. George,Rom.,M,164.29,87.81,N/A,N/A,N/A,N/A,
Point St. George,Rom.,M,121.1,81.94,36.82,26.17,14.95,8.24,
Point St. George,Rom.,M,169.21,88.82,40.55,30.2,16.92,17.97,
Point St. George,Rom.,F,96.34,79.23,N/A,N/A,N/A,N/A,
Point St. George,Rom.,F,90.98,77.72,28.65,20.44,11.21,4.8,
Point St. George,Rom.,F,113.95,79.63,29.46,21.29,11.51,5.67,
Point St. George,Rom.,F,107.83,80.26,30.4,22.13,11.69,6.23,
Point St. George,Rom.,F,125.16,84.36,33.11,23.19,13.3,6.99,
