Site,Block,Treatments.All,Treatment.C,Treatment.S,Group,Replicate,Consumed,Survived,Consumed.Day,Proportion.Living,LN.Rate.Survival.Day,Per.Cap.Int.Str,Pop.Int.Str
Point St. George,Pink,Rock crabs,Present,Absent,G2,1,18,12,1.285714286,0.4,-0.065449338,0.415551352,0.065449338
Point St. George,Orange,Rock crabs,Present,Absent,G2,2,12,18,0.857142857,0.6,-0.036487545,0.23166695,0.036487545
Point St. George,Yellow,Rock crabs,Present,Absent,G2,3,17,13,1.214285714,0.433333333,-0.059732002,0.379250805,0.059732002
Point St. George,Green,Rock crabs,Present,Absent,G2,4,10,20,0.714285714,0.666666667,-0.028961793,0.183884403,0.028961793
Point St. George,Blue,Rock crabs,Present,Absent,G2,5,18,12,1.285714286,0.4,-0.065449338,0.415551352,0.065449338
Point St. George,Black,Rock crabs,Present,Absent,G2,6,14,16,1,0.533333333,-0.044900619,0.285083292,0.044900619
Point St. George,Pink,Pisaster + Rock crabs,Present,Present,G2,1,22,8,1.571428571,0.266666667,-0.094411131,0.178093437,0.065449338
Point St. George,Orange,Pisaster + Rock crabs,Present,Present,G2,2,21,9,1.5,0.3,-0.085998057,0.099285836,0.036487545
Point St. George,Yellow,Pisaster + Rock crabs,Present,Present,G2,3,5,25,0.357142857,0.833333333,-0.013022968,0.162536059,0.059732002
Point St. George,Green,Pisaster + Rock crabs,Present,Present,G2,4,17,13,1.214285714,0.433333333,-0.059732002,0.078807601,0.028961793
Point St. George,Blue,Pisaster + Rock crabs,Present,Present,G2,5,19,11,1.357142857,0.366666667,-0.071664436,0.178093437,0.065449338
Point St. George,Black,Pisaster + Rock crabs,Present,Present,G2,6,7,23,0.5,0.766666667,-0.018978798,0.122178554,0.044900619
Point St. George,Pink,Pisaster,Absent,Present,G1,1,28,2,2,0.066666667,-0.193432157,0.921105511,0.193432157
Point St. George,Orange,Pisaster,Absent,Present,G1,2,25,5,1.785714286,0.166666667,-0.127982819,0.609441996,0.127982819
Point St. George,Yellow,Pisaster,Absent,Present,G1,3,21,9,1.5,0.3,-0.085998057,0.409514559,0.085998057
Point St. George,Green,Pisaster,Absent,Present,G1,4,26,4,1.857142857,0.133333333,-0.143921644,0.685341163,0.143921644
Point St. George,Blue,Pisaster,Absent,Present,G1,5,20,10,1.428571429,0.333333333,-0.078472306,0.373677649,0.078472306
Point St. George,Black,Pisaster,Absent,Present,G1,6,24,6,1.714285714,0.2,-0.114959851,0.547427861,0.114959851
Point St. George,Pink,Control,Absent,Absent,G1,1,0,30,0,1,0,0,0
Point St. George,Orange,Control,Absent,Absent,G1,2,0,30,0,1,0,0,0
Point St. George,Yellow,Control,Absent,Absent,G1,3,0,30,0,1,0,0,0
Point St. George,Green,Control,Absent,Absent,G1,4,0,30,0,1,0,0,0
Point St. George,Blue,Control,Absent,Absent,G1,5,0,30,0,1,0,0,0
Point St. George,Black,Control,Absent,Absent,G1,6,0,30,0,1,0,0,0
Devil's Gate,Pink,Rock crabs,Present,Absent,G2,1,13,17,0.923076923,0.569230769,-0.040247811,0.467997805,0.040247811
Devil's Gate,Orange,Rock crabs,Present,Absent,G2,2,14,16,1,0.533333333,-0.044900619,0.522100215,0.044900619
Devil's Gate,Yellow,Rock crabs,Present,Absent,G2,3,11,19,0.769230769,0.641025641,-0.031763273,0.369340383,0.031763273
Devil's Gate,Green,Rock crabs,Present,Absent,G2,4,13,17,0.923076923,0.569230769,-0.040247811,0.467997805,0.040247811
Devil's Gate,Blue,Rock crabs,Present,Absent,G2,5,13,17,0.923076923,0.569230769,-0.040247811,0.467997805,0.040247811
Devil's Gate,Black,Rock crabs,Present,Absent,G2,6,12,18,0.846153846,0.605128205,-0.035879638,0.417205095,0.035879638
