Star,Site,Mass (g) ,CD Height,Arm # Height,CD Width,Star Radius,Notes
PSG41,Point St. George,166.71,32.3,22.96,53.37,105.17,
PSG42,Point St. George,171.72,28.33,22.24,51.77,94.75,
PSG43,Point St. George,94.66,26.24,15.31,47.31,81.9,Cat 1 wasting
PSG44,Point St. George,377.35,30.16,21.34,78.24,136.37,
PSG45,Point St. George,244.11,32.15,21.33,67.1,108.04,
PSG46,Point St. George,273.21,33.22,21.36,70.52,115.7,
PSG47,Point St. George,77.69,22,16.31,46.26,79.32,
PSG48,Point St. George,173.88,34.22,18.52,61.47,105.98,
PSG49,Point St. George,223.92,32.49,20.15,62.77,104.17,
PSG50,Point St. George,324.71,38.33,22.23,70.92,124.35,
PSG51,Point St. George,301.47,35.31,23.6,64.2,117.69,
PSG52,Point St. George,229.63,34.17,16.53,59.91,124.39,
PSG53,Point St. George,259.56,34.98,19.66,67.18,119.49,
PSG54,Point St. George,173.06,28.38,17.33,58.79,111.08,
PSG55,Point St. George,406.43,48.93,22.37,73.45,128.63,Cat 2 wasting
PSG56,Point St. George,139,24.63,16.67,45.13,49.22,Cat 2 wasting
PSG57,Point St. George,139.93,30.16,20.45,52.76,100.61,
PSG58,Point St. George,173.6,34.27,20.04,70.76,120.72,
PSG59,Point St. George,198.83,31.27,21.09,57.83,99.99,
PSG60,Point St. George,292.24,33.91,26.07,65.71,131.02,
PSG61,Point St. George,336.81,42.2,24.51,76.79,123.65,
PSG62,Point St. George,444.23,50.32,28.33,79.41,131.54,
PSG63,Point St. George,180.04,30.83,19.33,57.7,102.35,
PSG64,Point St. George,347.43,40.35,25.13,70.18,140.82,
PSG65,Point St. George,230.07,43.02,24.61,58.9,110.03,
PSG66,Point St. George,435.91,44.74,27.38,79,132.05,Cat 2 wasting
PSG67,Point St. George,260.28,37.36,25.01,60.73,124.97,
PSG68,Point St. George,144.63,30.03,21.18,50.82,91.73,
DG1,Devil's Gate,273.59,33.4,27.15,69.12,117.48,
DG2,Devil's Gate,231.62,29.43,21.64,60.31,105.3,
DG3,Devil's Gate,245.67,26.85,16.91,62.23,96.47,
DG4,Devil's Gate,184.42,8.25,4.29,32.13,57.39,Eating Mussel/ Posturing
DG5,Devil's Gate,227.34,11.9,18.9,60.82,100.14,
DG6,Devil's Gate,232.69,23.71,22.29,62.55,122.56,
DG7,Devil's Gate,221.94,37.73,18.27,57.15,103.98,
DG8,Devil's Gate,209.91,33.99,13.58,57.19,106.68,
DG9,Devil's Gate,321.44,48.03,23.93,64.49,107.89,
DG10,Devil's Gate,205.84,39.78,19.1,60.78,120.75,
DG11,Devil's Gate,319.85,46.2,21.1,60.52,121.35,
DG12,Devil's Gate,176.62,38.33,17.78,57.13,91.45,
DG13,Devil's Gate,174.45,33.32,17.76,58.17,112.51,
DG14,Devil's Gate,319.28,43.3,29.36,68.41,138.24,
DG15,Devil's Gate,229.36,40.63,18.11,5853,98.58,
DG16,Devil's Gate,187.92,29.97,21.73,66.24,106.15,
DG17,Devil's Gate,246,36.03,26.67,65.9,108.05,
DG18,Devil's Gate,321.73,42.59,17.4,59.78,124.02,
DG19,Devil's Gate,143.91,29.21,16.91,49.08,84.46,Lesion
DG20,Devil's Gate,242.55,38.23,20.96,59.82,108.31,
DG21,Devil's Gate,196.82,30.6,23.34,54.6,101.64,
DG22,Devil's Gate,188.91,32.28,20,57.4,100.55,
DG23,Devil's Gate,264.44,35.36,17.58,63.58,107.06,
DG24,Devil's Gate,213.65,38.59,23.26,58.76,110.33,
DG25,Devil's Gate,253.91,39.63,20.63,66.06,101.45,
DG26,Devil's Gate,253.57,36.39,26.46,67.96,96.07,
DG27,Devil's Gate,157.64,39.99,17.64,46.82,85.09,
DG28,Devil's Gate,176.24,28.26,19.98,58.04,91.29,
DG29,Devil's Gate,307.97,36.65,24.85,64.86,99.78,
DG30,Devil's Gate,275.66,36.17,23.01,65.68,99.58,
BP1,Belinda Point,295.04,45.76,22.41,62.26,97.29,Eating Chlorostoma
BP2,Belinda Point,269.64,35.08,24.46,71.26,126.57,Arm 3 Missing
Bp3,Belinda Point,225.8,33.86,22.86,62.32,112.16,Regrowing Arm 1
BP4,Belinda Point,400,38.86,29.27,67.58,135.13,Error on Scale
BP5,Belinda Point,260.95,27.24,24.13,58.77,103.44,
BP6,Belinda Point,350,44.28,31.54,67.07,149.15,Error on Scale
BP7,Belinda Point,250,42.73,32.44,77.49,13.75,Error on Scale
BP8,Belinda Point,371.6,40.09,29.76,68.51,132.14,
